,tweet_full_text
0,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6
1,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo"
2,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M"
3,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU
4,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7"
5,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT
6,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH
7,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt"
8,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ
9,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq"
10,My favorites so far #JustDoIt https://t.co/zY7VDa5Q0X
11,"Colin Kaepernick's business partner @Nike sends millions of dollars to groups which target black lives for gruesome deaths domestically and abroad. #NikeBoycott #JustDoIt

https://t.co/abSV7fP7YN"
12,@CSPensions Why be a cat when you can be a lion. #JustDoIt  ;)
13,"@realDonaldTrump They were thinking history will judge the treatment of @ColinKaperneck7 and will come out on his side, they decided to lead! #JustDoIt"
14,@RepAdamSchiff Go ahead @RepAdamSchiff   #JustDoIt #SpartacAssJr
15,Why be a cat when you can be a lion. #JustDoIt https://t.co/vPOkgfchFR
16,#socialism be like me and #JustDoIt because ya know it like works and stuff I mean come on it’s like the greatest thing ever I mean like duh ....🤔🙄😳...#Truth #kaga2018 #kag2020 #Maga #FakeNews https://t.co/FsJZyVC98J
17,"Hey @Nike I stood for our country. I served my nation and that flag you're so enthused to kneel for. I stood for something, gave up everything. You want to impress me? Hire a real man for your ads. Hire a marine not a bitchy millionaire. He gave up nothing.  #JustDoIt"
18,"I’ve seen a lot of memes re #JustDoIt but this particular one struck me.......haunting. 

For me, this speaks to how far the Left will go to undermine @realDonaldTrump &amp; the will of true American Patriots. 

Let’s do our job to help @POTUS 

#VoteRedToSaveAmerica #VoteRed2018 https://t.co/rm7XBt3W9l"
19,Abortion stops a beating heart. Just imagine all the lives we can save if we get #Kavanaugh on the court. Democrats should be eager to confirm him for the sake of our children. #justdoit
20,@Nike My favorite Nike commercial ever!! #JustDoIt
21,Modeling is more than just runway and clothes for me. It’s a daily way of life to be an example when I step out the door and into any room. Happy Friday! #nike #kaepernick7 #justdoit @Kaepernick7 @Nike @nikesportswear @nikewomen #FridayFeeling #FridayMotivation https://t.co/YwvMNYONMB
22,You are never too broke to shop your favourite fashion brands when they are at #Discounts365days #JustDoIt https://t.co/hwlxCLesVg
23,My kinda Lady ... #Justdoit #Nike !!! https://t.co/GIFmg85rAm
24,Dream Big &amp; #Justdoit! https://t.co/Vr4GIyGsoj
25,"Hey!!!! go check this video out !!! It’s a lot of fun and cute #newyoutubers 
#relationshipgoals 
#JustDoIt. Just click the link and subscribe 🧡
https://t.co/W7JhYpHtXL https://t.co/ltUmnsCxxZ"
26,Nike got $43 million of free press in the 24 hours after #JustDoIt campaign. It pays to put your balls on the line.
27,"@realDonaldTrump They were thinking - “let’s use this talented football star, who’s been blackballed by asshole NFL owners, to take a stand and optimize our ad’s reach with minimal dollars”. A genius move by Nike! Free publicity is a marketers dream! #NikeStrong #JustDoIt #TeamNike #ImWithKap"
28,YOU STOLE MY GODDAMN HOUSE #justdoit #juststealit @Bravotv @BravoWWHL @ParisHilton https://t.co/8xShKr0SYq
29,Don't skip leg day y'all #legday #justdoit #flexfriday #berkhansays https://t.co/6o3ktraCCu
30,"""Believe in something. Even if it means sacrificing everything.""

Nike has chosen bold words for their #JustDoIt campaign. But what exactly does sacrifice mean to a multi-billion dollar corporation?

Branded revolution: ✔️

https://t.co/QIZex684w6"
31,Why yall do Tayson like dat #JustDoIt #nike #photooftheday #internewins #Mike_Tyson #Tyson https://t.co/dWopqtjitM
32,"#MissAmerica #FlashbackFriday #JobsReport Nike #GOT7 #JustDoIt FEMA #campaigns #TV3GH
SpiderMan #KaepernickNikeAd #slaveryremembranceday #MudaSuksesMenang 
#FridayFeeling #NationalBeerLoversDay I Love It
#eminemvsmgk #Nas vs #Kelis Kanye #INDRAKETUJUHEPS38
https://t.co/sVDCOXDBJP"
33,@Nike is the only shoe I'll train in. I'm wearing the Nike Bruins from Back to the Future for my wedding. Hell yeah Nike. #JustDoIt
34,"The @elonmusk Mindset

#JustDoIt https://t.co/2wq93hJjxy"
35,"@tgirlmiller @realDonaldTrump Donating my #Nike  all in great coditions, many barely worn to homeless veterans and buying new ones for my self.
#JustDoIt https://t.co/EVH7Frnlwm"
36,@nerdygirl007 @1DentalHyGenius @IntelisexXx @NuttyTrump @CokerRory @benFranklin2018 Yes!!! Do it!! #JustDoIt
37,@realDonaldTrump It’s clear why you &amp; Kim “respect” each other so much...#DonaldLovesDictators  #TakeAKnee #ColinKaepernick #Nike #JustDoIt #FightFascism https://t.co/ZYjB3DcSxI
38,Just do it. #nike #meme #justdoit #justtryit #cafecitoenergy #energy https://t.co/b67YtvoraG
39,"#JustDoIt … another potential spokesperson for #Nike
Former Cowboys RB Joseph Randle arrested, charged with rape https://t.co/XmW482KIUb"
40,"Just left the @Nike store #greatlakescrossing  I don't even like Nike like that... BUT it's for the culture. Yall take care of Rena and Kap..I'll support you.

#Fortheculture
#Nike
#Justdoit
#bringit https://t.co/Ns6snxuann"
41,#BOOM #MannCup2018 READY!! 7 hours @satolax22 #justDOIT!! #WestCoastBestCoast @CurtisDickson17 #FLYYYY! https://t.co/FRul00IsBq
42,"#Lebron16: Look at those eyes...

#LeBron #Nike #JustDoIt https://t.co/WNvn4qzhQt"
43,So with the Sun and new moon in Virgo this Sunday- I’m commencing an exercise regimen to compliment my dietary regimen. #goals #JustDoIt https://t.co/uJrYrrSdTl
44,Mr #IQ45 alone with #MitchMcConnell @SenateMajLdr #GOP meeting to see how they can destroy #presObama @Niki #Kaepernick #JustDoIt
45,"@Nike world is yours - the world is flat,  Kyrie ,LeBron and I have your back. Do I have your back? I’ve known you since grade school. I can’t believe this even rhymes I’m a fool .   @KingJames #LeBron #lebronjames #nike #kyrie #kapernick #justdoit #sneaker"
46,@realDonaldTrump I got new @Nike running shoes this week. #JustDoIt #JustDoIt #StandForSomething #TakeTheKnee
47,"Pure Gold!
From Larry Elder
(Overheard, II)

I returned a pair of Nike shoes yesterday for a refund, and the clerk asked me what was wrong with them. I told her they hurt my feet when I stood up for the national anthem.

#JustDoIt #ISTANDFORAMERICA"
48,"If you work hard, limitless and focus on your goals and respecting each other... the only thing you will have, is the success.
#JustDoIt https://t.co/ARRxcgQim9"
49,"New season of #ESG Notes kicks off today. Today, ESG Note S2E1:  Nike Blows Our Minds, Inequality Is Hot, Exit Theranos, Ocean Bonds, @GuyCallendar. #investment #strategy #sustainability #impinv #susty #SDGs #JustDoIt #Theranos #TheLongSwim #FridayReads https://t.co/TcVVrBsLrn"
50,"Invest in #Mojo50?

#JustDoIt 

@DocThompsonShow 
@realBradStaggs 
@foodbizpro"
51,"If you don’t express to me that you wish to be buried after your death, best believe you’re getting cremated and launch out of a shoulder fired rocket launcher. #LoveIsLove #Justdoit #ShowerThoughts"
52,@Nike  you gotta get these made! #JustDoIt https://t.co/LiDtQx0Xt2
53,Don’t ask if your dreams are crazy. Ask if they’re crazy enough.!!#justdoit
54,"Create Your Own Nike Just Do It Colin Kaepernick Meme With This Free Template: https://t.co/h9SZP6dUKB

#Nike #ColinKaepernick #JustDoIt https://t.co/rIqRybre1A"
55,#Justdoit Vote our &amp; oust McGovern!
56,This is why Colin kneels.  We all should kneel. You can't even ride in a car with your grandmother looking as timid as Urkel without getting profiled by police as a criminal. You can hear the despair in his voice. #ImwithKap. #Justdoit https://t.co/pFxaXOE9UM
57,Sounds like a plan! #JustDoIt #FirstAmendment https://t.co/ULAA6K0Tgu
58,"#JustDoIt: Nike took a knee for Kaepernick, outrage ensues. Were you surprised? https://t.co/e7ab3oVkHX https://t.co/yhFHvgNSog"
59,"@realDonaldTrump Just Do It!!
#trumpTrash
 #JustDoIt 
#Nike
#NFL
#NikeKap https://t.co/GQ7YwcVhur"
60,just doin it on a friyay @nike #believeinsomething #colinkaepernick #justdoit #friyay @ Nike NYHQ https://t.co/v0bmxyq8RI
61,"Check Me Out! September 10th on Facebook Live 8 am sharp.

""#justdoit""

See https://t.co/cKpdrrRzTJ for my freebie

""Four Easy Techniques to Keep You Calm as a Nurse""

Thanks! https://t.co/iNlExWzYav"
62,What ever you feel like doing it #JustDoIt✔ https://t.co/SOoFxtB778
63,It saved me it can save you too #JUSTDOIT 🌚🐾‼️ https://t.co/NYIuOqktj3
64,@washingtonpost Thank you #Kap #JustDoIt #Nike We are UNITED and will NOT allow DJT to divide US! #BlueWave2018
65,@Kaepernick7 @Nike and @Kaepernick7 are on the right side of history #LOVE_YOURSELF #BelieveInYourself #JustDoIt #EqualityforAll #CompassionforAll
66,Friday Mood #JustDoIt https://t.co/D1b8qb3m5y
67,"@realDonaldTrump God bless President Trump! 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#justdoIt #JustDontDoIt #Trump2020 #RedWave https://t.co/RtqWsqflI5"
68,"| Just Do It!✔️ - @nike |
#JustDoIt #Nike #Meme #Jesus #Viral #Marketing #NBC #CNN #ColinKaepernick #Kaepernick #NikeJustDoIT #Football #Believe #Listen #NikeShoes #BelieveInSomething… https://t.co/A8PqKSakxL"
69,And they are using the their platform to draw media attention and awareness to the issue. Nike knows who their customers are.  #JustDoIt #Nike https://t.co/2ehv8QuO8p
70,"@JWKeady @Kaepernick7 @KillerMike @tmorello #Nike #JustDoIt #TakeAKnee 
I'll say it again; he makes me glad my service was not simply to an empire. He shows me that at least one American is ethically free &amp; morally courageous enough to protest #injustice, as our forefathers once did. The rest of you seem to have forgotten;"
71,"Believe in ThrillBill. Even if it means sacrificing other plans.
.
.
.
#nike #justdoit #justthrillbill #djthrillbill #704 #charLIT #thecoolestdjintheworld #😎 #thrillbillionaires #qcdjs… https://t.co/ZvoQ85CU08"
72,Those three words made all the difference. #JustDoIt https://t.co/CCrqAeINql
73,"This is a great reminder that things may come to those that wait and they will be things left over by those that hustle. 
Less “into thought” more “into action”.  
#justdoit https://t.co/FMn00Vpmfh"
74,You knew it was coming #justdoit #hehe #michaeljackson #heheintothewind https://t.co/KrnoBniTOo
75,@Nike is aligning itself with the core values of our younger generation and celebrating athletes beyond their sport. BELIEVE IN SOMETHING. #thoughtwear #justdoit #diplomacy https://t.co/mP9M64pqvm
76,"You’ve gotta WORK to make things WORK.

#JustDoIt"
77,Looking at the journey ahead...I will need to keep watching this😰 #JustDoIt https://t.co/inTQ4fgIdd
78,"""So don't ask if your dreams are crazy, ask if your dreams are crazy enough."" #nike #ad #justdoit #crazyenough #believeinsomething
https://t.co/mQgvO8urfA"
79,"@madriannorman .@Nike
@Kaepernick7 is to #Nike like A Fly is to Shit.
#JustDoIt"
80,"We out here..... Nike Sunday!!!!! #justdoit @ Tanger Outlets, Grand Rapids https://t.co/1C7Ipsyswg"
81,"Owned Yet, Libs? https://t.co/D7I86zTfL7 #Nike #JustDoIt"
82,"Stand for something. Even if it means sacrifasing everything. 

#JustDoIt https://t.co/xpZz5XSA1z"
83,Now this is what we’re talkin’ about! #MAGA #QAnon #JustDoIt #JustBlewIt #TheRainMakers @POTUS #FridayFeeIing https://t.co/QXriULydFg
84,@TsMadisonatl1 @PrimeVideo @MsIsisKing @Ariscestocrat @FishTankSeries Run Maddie Run...trackstar 🏃🏾‍♀️ #JustDoIt
85,#SplendidLoves Nike's 30th Anniversary #JustDoIt ad campaign with Colin Kaepernick https://t.co/1prGB5HjUh
86,It’s possible to be critical of Nike not paying its workers decent wages AND appreciate Nike’s ad featuring Karpernick. #JustDoIt
87,"Slave owners and private prisons have used black men and women as a political and financial piece for gain

But people are mad that nike is putting money in Kaepernick's pockets giving a world platform for a message of racial injustice?
#nike #JustDoIt #Kaepernick #TakeAKnee"
88,This is fucked up lol #nike #colinkaepernick #kaepernick #america #nfl #justdoit #justdoit✔️#steviewonder https://t.co/6pbTchCKWd
89,Nike took a calculated risk. And won. #advertising #justdoit #nike https://t.co/1TGuPn9EAQ
90,"Just Did It! 
#justdoit #nike #collinkaepernick #blackpower #thugpun https://t.co/MPrzoGVc5W"
91,No one is safe @kobebryant 😂😂 #JustDoIt https://t.co/W1A5J84i4n
92,@realDonaldTrump NIKE WAS PISSING YOU OFF.... AND IT WORKED!!!! AHAHAHAHAHAHAAHA #JUSTDOIT ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️ https://t.co/LwfWOu1Bds
93,Just to get you hyped for the weekend! #justdoit Nike: Juntas Imparables - Just Do It https://t.co/PxLs2wpnZL
94,@beerscouts @LindseyGrahamSC @SenatorCollins @JeffFlake @marcorubio @SenSasse @SenatorIsakson @sendavidperdue @senrobportman @SenBobCorker @lisamurkowski @RepErikPaulsen @SenatorLankford @SenatorBurr @BillCassidy @SenPatRoberts They should #justdoit
95,"its Natives killed
Got you singin' this star-spangled spiel
To a piece of cloth that represents the ""Land of the Free"" that made people slaves to build #eminem #revival #nike #ColinKaepernick #JustDoIt #iStandWithKaep"
96,.@TMZ (of all places) analyzed @Nike customer demographic #JustDoIt https://t.co/tx7F99W2qC
97,"@nikestore love my nikes
#JUSTDOIT https://t.co/DNw0ZI3hiP"
98,"""Don't ask if your dreams are crazy, ask if you're crazy enough to bring them into reality.""
#JustDoIt https://t.co/KDAC7wXFWk"
99,All Protest Do Not Lead to Progess... When You Protest Alone &amp; Willing to Stand Strong as One For All; Your Efforts Will Continue To Rise When People want to see You Fall! #History #Kapernick #JustDoIt @Nike @nikefootball @OWNTV @TheEllenShow @BETNews #BeYou #livelaughlove #Smile https://t.co/ehJN5nF0Om
